"Deployment_fk"	"Time"	"Species"	"Milliseconds"	"Number_clicks_filtered"	"Number_clicks_total"	"Lost_minutes"	"Recorded"	"Dpm"	"Dp10m"	"Station"	"Latitude"	"Longitude"	"Mooring_type"	"Receiver"
2578	2016-01-01 00:00:00	"NBHF"	3278	176	2314	0	60	5	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 01:00:00	"NBHF"	23229	536	9556	0	60	11	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 02:00:00	"NBHF"	6938	61	3719	0	60	1	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 03:00:00	"NBHF"	587	5	1520	0	60	1	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 04:00:00	"NBHF"	0	0	866	0	60	0	0	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 05:00:00	"NBHF"	0	0	512	0	60	0	0	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 06:00:00	"NBHF"	0	0	535	0	60	0	0	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 07:00:00	"NBHF"	182	45	1629	0	60	3	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 08:00:00	"NBHF"	449	7	2228	0	60	1	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 09:00:00	"NBHF"	494	29	2471	0	60	1	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 10:00:00	"NBHF"	0	0	2050	0	60	0	0	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 11:00:00	"NBHF"	16100	803	5743	0	60	16	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 12:00:00	"NBHF"	7364	433	3864	0	60	12	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 13:00:00	"NBHF"	7715	208	4541	0	60	11	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 14:00:00	"NBHF"	1834	35	2162	0	60	2	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 15:00:00	"NBHF"	12597	333	6174	0	60	13	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 16:00:00	"NBHF"	13548	135	3092	0	60	4	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 17:00:00	"NBHF"	0	0	1334	0	60	0	0	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 18:00:00	"NBHF"	116	23	1563	0	60	2	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 19:00:00	"NBHF"	0	0	1097	0	60	0	0	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 20:00:00	"NBHF"	8316	206	4745	0	60	7	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 21:00:00	"NBHF"	28357	1518	8012	0	60	32	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 22:00:00	"NBHF"	37402	1382	14274	0	60	39	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-01 23:00:00	"NBHF"	43800	1168	11104	0	60	33	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-02 00:00:00	"NBHF"	664	35	682	0	60	4	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
