HAB_TYP,Legend
A5.13,Infralittoral coarse sediment
A5.14,Circalittoral coarse sediment
A5.15,Deep circalittoral coarse sediment
A5.23 or A5.24,Infralittoral fine/ muddy sand
A5.25 or A5.26,Circalittoral fine/ muddy sand
A5.27,Deep circalittoral sand
A5.33,Infralittoral sandy mud
A5.33 or A5.34,Infralittoral sandy/fine mud
A5.34,Infralittoral fine mud
A5.35,Circalittoral sandy mud
A5.35 or A5.36,Circalittoral sandy/fine mud
A5.36,Circalittoral fine mud
A5.37,Deep circalittoral mud
A5.43,Infralittoral mixed sediments
A5.44,Circalittoral mixed sediments
A5.45,Deep circalittoral mixed sediments
