"x" "y" "z"
"1" 1.57 50.77 12.7666664123535
"2" 1.57 50.78 12.0999998092651
"3" 1.57 50.79 12.1799997329712
"4" 1.57 50.8 14.3199998855591
"5" 1.57 50.81 16.1199998855591
"6" 1.57 50.82 16.5999999046326
"7" 1.57 50.83 15.5799999237061
"8" 1.57 50.84 15.1199998855591
"9" 1.57 50.85 15.4599998474121
"10" 1.57 50.86 15.6799999237061
"11" 1.57 50.87 15.5499999523163
"12" 1.57 50.88 17.9999998092651
"13" 1.57 50.89 22.0199998855591
"14" 1.57 50.9 25.7999998092651
"15" 1.57 50.91 30.2199998855591
"16" 1.57 50.92 31.525000333786
"17" 1.57 50.93 35.7200004577637
"18" 1.57 50.94 39.2600006103516
"19" 1.57 50.95 42.4800003051758
"20" 1.57 50.96 43.6000007629395
"21" 1.57 50.97 46.8250007629395
"22" 1.57 50.98 44.7110008239746
"23" 1.57 50.99 43.5479999542236
"24" 1.57 51 43.2729999542236
"25" 1.57 51.01 41.7189998626709
"26" 1.57 51.02 44.6925005912781
"27" 1.57 51.03 43.7029998779297
"28" 1.57 51.04 44.8110004425049
"29" 1.57 51.05 44.7330001831055
"30" 1.57 51.06 44.12799949646
"31" 1.57 51.07 43.9525008201599
"32" 1.57 51.08 45.9229999542236
"33" 1.57 51.09 48.0349998474121
"34" 1.57 51.1 47.3370002746582
"35" 1.57 51.11 45.7720001220703
"36" 1.57 51.12 45.6374998092651
"37" 1.57 51.13 49.3620002746582
"38" 1.57 51.14 49.5809997558594
"39" 1.57 51.15 49.0119998931885
"40" 1.57 51.16 49.1639995574951
"41" 1.57 51.17 49.3687500953674
"42" 1.57 51.18 49.3700000762939
"43" 1.57 51.19 44.8720001220703
"44" 1.57 51.2 30.8539999008179
"45" 1.57 51.21 31.0119998931885
"46" 1.57 51.22 23.7925001382828
"47" 1.57 51.23 5.83099996447563
"48" 1.57 51.24 -1.11800001114607
"49" 1.57 51.25 8.24199997186661
"50" 1.57 51.26 18.3879998207092
"51" 1.57 51.27 19.6662497520447
"52" 1.57 51.28 19.7399997711182
"53" 1.57 51.29 19.3340000152588
"54" 1.57 51.3 16.9550004005432
"55" 1.57 51.31 15.7230000495911
"56" 1.57 51.32 15.728749871254
"57" 1.57 51.33 15.9459999084473
"58" 1.57 51.34 14.9490000724792
"59" 1.57 51.35 13.8640000343323
"60" 1.57 51.36 14.2710000991821
"61" 1.57 51.37 14.7750000953674
"62" 1.57 51.38 16.9380000114441
"63" 1.57 51.39 16.0029999732971
"64" 1.57 51.4 15.2220000267029
"65" 1.57 51.41 14.6410000801086
"66" 1.57 51.42 15.6437499523163
"67" 1.57 51.43 18.4120002746582
"68" 1.57 51.44 18.7360004425049
"69" 1.57 51.45 20.2169998168945
"70" 1.57 51.46 20.960000038147
"71" 1.57 51.47 20.7012498378754
"72" 1.57 51.48 21.2209995269775
"73" 1.57 51.49 21.0760000228882
"74" 1.57 51.5 21.0249998092651
"75" 1.57 51.51 21.4400001525879
"76" 1.57 51.52 22.1799998283386
"77" 1.57 51.53 23.3610000610352
"78" 1.57 51.54 23.8969999313355
"79" 1.57 51.55 24.9180002212524
"80" 1.57 51.56 24.6429996490479
"81" 1.57 51.57 20.8862500190735
"82" 1.57 51.58 5.95499999523163
"83" 1.57 51.59 5.92299993038178
